Nome, Sexo, CEP, Dinheiro, Conexao
Maria Silva,F,12345678,250,WiFi
Joao Santos,M,78901234,500,3G
Ana Costa,F,23456789,1000,4G
Pedro Oliveira,M,34567890,750,WiFi
Sofia Pereira,F,45678901,350,3G
Lucas Rodrigues,M,56789012,900,4G
Laura Martins,F,67890123,600,WiFi
Gabriel Almeida,M,79001234,450,3G
Isabela Goncalves,F,89012345,800,4G
Felipe Carvalho,M,90123456,200,WiFi
Sofia Santos,F,01234567,550,3G
Gustavo Lima,M,12345678,950,4G
Ana Silva,F,23456789,700,WiFi
Matheus Rodrigues,M,34567890,400,3G
Julia Fernandes,F,45678901,850,4G
Lucas Santos,M,56789012,150,WiFi
Lara Alves,F,67890123,300,3G
Felipe Martins,M,79001234,650,4G
Maria Costa,F,89012345,950,WiFi
Pedro Oliveira,M,90123456,500,3G
Beatriz Santos,F,01234567,850,4G
Thiago Almeida,M,12345678,250,WiFi
Laura Silva,F,23456789,700,3G
Joao Costa,M,34567890,400,4G
Sofia Oliveira,F,45678901,950,WiFi
Lucas Rodrigues,M,56789012,600,3G
Ana Martins,F,67890123,800,WiFi
Pedro Silva,M,79001234,150,3G
Beatriz Costa,F,89012345,700,4G
Thiago Oliveira,M,90123456,400,WiFi
Laura Rodrigues,F,01234567,850,3G
Joao Santos,M,12345678,650,4G
Sofia Pereira,F,23456789,950,WiFi
Lucas Rodrigues,M,34567890,500,3G
Ana Costa,F,45678901,850,4G
Pedro Oliveira,M,56789012,250,WiFi
Beatriz Santos,F,67890123,700,3G
Thiago Almeida,M,79001234,950,4G
Laura Costa,F,89012345,700,WiFi
Joao Santos,M,90123456,400,3G
Sofia Pereira,F,01234567,850,4G
Lucas Rodrigues,M,12345678,900,WiFi
Lara Martins,F,23456789,250,3G
Felipe Costa,M,34567890,550,4G
Maria Oliveira,F,45678901,350,WiFi
Pedro Silva,M,56789012,700,3G
Beatriz Santos,F,67890123,850,4G
Thiago Almeida,M,79001234,150,WiFi
Joao Santos,M,90123456,650,4G
Sofia Pereira,F,01234567,950,WiFi
Lucas Rodrigues,M,12345678,500,3G
Ana Martins,F,23456789,850,4G
Pedro Silva,M,34567890,150,WiFi
Beatriz Costa,F,45678901,700,3G
Thiago Almeida,M,56789012,950,4G
Laura Rodrigues,F,67890123,600,WiFi
Joao Santos,M,79001234,950,3G
Sofia Pereira,F,89012345,700,4G
Lucas Rodrigues,M,90123456,400,WiFi
Ana Costa,F,01234567,850,3G
Pedro Oliveira,M,12345678,900,4G
Beatriz Santos,F,23456789,350,WiFi
Thiago Almeida,M,34567890,600,3G
Laura Costa,F,45678901,750,4G
Joao Santos,M,56789012,200,WiFi
Sofia Pereira,F,67890123,550,3G
Lucas Rodrigues,M,79001234,950,4G
Ana Costa,F,89012345,700,WiFi
Pedro Oliveira,M,90123456,400,3G
Beatriz Santos,F,01234567,850,4G
Thiago Almeida,M,12345678,150,WiFi
Laura Costa,F,23456789,700,3G
Joao Santos,M,34567890,400,4G
Sofia Pereira,F,45678901,850,WiFi
Lucas Rodrigues,M,56789012,150,3G
Ana Costa,F,67890123,600,4G
Pedro Oliveira,M,79001234,950,WiFi
Beatriz Santos,F,89012345,700,3G
Thiago Almeida,M,90123456,200,4G
Laura Costa,F,01234567,550,WiFi
Joao Santos,M,12345678,950,3G
Sofia Pereira,F,23456789,700,4G
Lucas Rodrigues,M,34567890,400,WiFi
Ana Costa,F,45678901,850,3G
Pedro Oliveira,M,56789012,90,4G
Beatriz Santos,F,67890123,350,WiFi
Thiago Almeida,M,79001234,600,3G
Laura Costa,F,89012345,750,4G
Joao Santos,M,90123456,200,WiFi
Sofia Pereira,F,01234567,550,3G
Lucas Rodrigues,M,12345678,950,4G
Ana Costa,F,23456789,700,WiFi
Pedro Oliveira,M,34567890,400,3G
Beatriz Santos,F,45678901,850,4G
Thiago Almeida,M,56789012,150,WiFi
Laura Costa,F,67890123,700,3G
Joao Santos,M,79001234,950,4G
Sofia Pereira,F,89012345,700,WiFi
Lucas Rodrigues,M,90123456,400,3G
Ana Costa,F,01234567,850,4G
Pedro Oliveira,M,12345678,900,WiFi
Beatriz Santos,F,23456789,350,3G
Thiago Almeida,M,34567890,600,4G
Laura Costa,F,45678901,750,WiFi
Joao Santos,M,56789012,200,3G
Sofia Pereira,F,67890123,550,4G
Lucas Rodrigues,M,79001234,950,WiFi
Ana Costa,F,89012345,700,3G
Pedro Oliveira,M,90123456,400,4G
Beatriz Santos,F,01234567,850,WiFi
Thiago Almeida,M,12345678,150,3G
Laura Costa,F,23456789,700,4G
Joao Santos,M,34567890,400,WiFi
Sofia Pereira,F,45678901,850,3G
Lucas Rodrigues,M,56789012,150,4G
Ana Costa,F,67890123,600,WiFi
Pedro Oliveira,M,79001234,950,3G
Beatriz Santos,F,89012345,700,4G
Thiago Almeida,M,90123456,200,WiFi
Laura Costa,F,01234567,550,3G
Joao Santos,M,12345678,950,4G
Sofia Pereira,F,23456789,700,WiFi
Lucas Rodrigues,M,34567890,400,3G
Ana Costa,F,45678901,850,4G
Pedro Oliveira,M,56789012,900,WiFi
Beatriz Santos,F,67890123,350,3G
Thiago Almeida,M,79001234,600,4G
Laura Costa,F,89012345,750,WiFi
Joao Santos,M,90123456,200,3G
Sofia Pereira,F,01234567,550,4G
Lucas Rodrigues,M,12345678,950,WiFi
Ana Costa,F,23456789,700,3G
Pedro Oliveira,M,34567890,400,4G
Beatriz Santos,F,45678901,850,WiFi
Thiago Almeida,M,56789012,150,3G
Laura Costa,F,67890123,700,4G
Joao Santos,M,79001234,950,WiFi
Sofia Pereira,F,89012345,700,3G
Lucas Rodrigues,M,90123456,400,4G
Ana Costa,F,01234567,850,WiFi
Pedro Oliveira,M,12345678,900,3G
Beatriz Santos,F,23456789,350,4G
Thiago Almeida,M,34567890,600,WiFi
Laura Costa,F,45678901,750,3G
Joao Santos,M,56789012,200,4G
Sofia Pereira,F,67890123,550,WiFi
Jorge Henrique,M, 29293293, 920.30, 4g
Pedro Oliveira,M,90123456,400,WiFi
